,mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
g_mp[signals x TestChangeProb|TestDeleteProb],1.081,0.858,0.536,1.467,0.006,0.005,24514.0,16055.0,1.0
g_mp[lazy_import x ChangeParamProb|RandPert],1.081,1.05,0.502,1.427,0.008,0.006,22596.0,16770.0,1.0
g_mp[pgzero_frontend x Pop|TestInsertionProb],1.081,0.85,0.497,1.442,0.007,0.005,22971.0,16917.0,1.0
g_mp[validation x Elite|TestDeleteProb],1.081,0.947,0.556,1.477,0.007,0.005,22683.0,17114.0,1.0
g_mp[decorators x StatemInsertProb|TestInsertionProb],1.081,0.852,0.545,1.464,0.007,0.005,24511.0,16690.0,1.0
g_mp[cmd x TestInsertProb|TestInsertionProb],1.081,0.888,0.564,1.479,0.007,0.005,23570.0,17045.0,1.0
g_mp[return_from_generator x Elite|TestInsertionProb],1.081,0.792,0.533,1.473,0.006,0.004,23529.0,16477.0,1.0
g_mp[positional_validation x Pop|TestChangeProb],1.081,0.768,0.52,1.464,0.006,0.004,24380.0,16950.0,1.0
g_mp[maybe x Pop|TestDeleteProb],1.081,1.114,0.544,1.472,0.009,0.006,23403.0,16647.0,1.0
g_mp[immutable_list x ChromLen|RandPert],1.081,0.857,0.55,1.465,0.007,0.005,23572.0,17231.0,1.0
g_mp[return_from_generator x TestInsertProb|TestInsertionProb],1.081,1.059,0.552,1.487,0.008,0.005,23570.0,16855.0,1.0
g_mp[config x RandPert|StatemInsertProb],1.081,0.963,0.529,1.467,0.007,0.005,23121.0,16723.0,1.0
g_mp[dict_unpacking x Pop|TestDeleteProb],1.081,1.07,0.532,1.462,0.008,0.006,25695.0,17201.0,1.0
g_mp[maybe x StatemInsertProb|TourSize],1.081,0.79,0.541,1.487,0.006,0.004,25861.0,15715.0,1.0
g_mp[config x TestDeleteProb|TestInsertionProb],1.081,0.965,0.559,1.472,0.007,0.005,22357.0,16407.0,1.0
g_mp[validation x Crossover|TourSize],1.081,0.791,0.543,1.485,0.006,0.004,24362.0,17232.0,1.0
g_mp[lazy_import x Elite|TourSize],1.082,1.109,0.546,1.469,0.008,0.006,23950.0,16731.0,1.0
g_mp[journaling x StatemInsertProb|TestChangeProb],1.082,0.851,0.541,1.479,0.006,0.005,23670.0,16786.0,1.0
g_mp[headers x ChangeParamProb|StatemInsertProb],1.082,1.17,0.51,1.428,0.009,0.006,24144.0,16679.0,1.0
g_mp[py_helpers x ChangeParamProb|Pop],1.082,0.759,0.512,1.445,0.006,0.004,24547.0,16752.0,1.0
g_mp[journaling x ChangeParamProb|TestDeleteProb],1.082,1.168,0.519,1.461,0.009,0.006,22719.0,15674.0,1.0
g_mp[dict_unpacking x RandPert|TestInsertionProb],1.082,1.753,0.503,1.452,0.013,0.009,24177.0,17428.0,1.0
g_mp[cmd x ChangeParamProb|StatemInsertProb],1.082,0.823,0.508,1.445,0.006,0.004,22603.0,17038.0,1.0
g_mp[packages x ChangeParamProb|StatemInsertProb],1.082,0.808,0.516,1.439,0.006,0.004,23799.0,16380.0,1.0
g_mp[dict_unpacking x StatemInsertProb|TourSize],1.082,1.027,0.544,1.471,0.008,0.005,24446.0,16915.0,1.0
g_mp[maybe x ChangeParamProb|TestDeleteProb],1.082,0.79,0.528,1.458,0.006,0.004,24439.0,16216.0,1.0
g_mp[yield_from x RandPert|TestInsertionProb],1.082,1.238,0.539,1.466,0.01,0.007,24396.0,16072.0,1.0
g_mp[py_helpers x ChangeParamProb|TourSize],1.082,1.212,0.508,1.448,0.009,0.006,24157.0,16421.0,1.0
g_mp[timer x ChromLen|TestInsertionProb],1.082,1.066,0.518,1.447,0.009,0.006,21423.0,16585.0,1.0
g_mp[immutable_list x StatemInsertProb|TestInsertionProb],1.082,0.975,0.53,1.454,0.007,0.005,23220.0,17290.0,1.0
g_mp[return_from_generator x ChangeParamProb|TestChangeProb],1.082,0.956,0.512,1.467,0.008,0.005,25328.0,16014.0,1.0
g_mp[return_from_generator x ChangeParamProb|TourSize],1.082,2.014,0.555,1.456,0.016,0.012,24548.0,16656.0,1.0
g_mp[validation x TestInsertionProb|TourSize],1.082,1.375,0.541,1.468,0.01,0.007,24044.0,17362.0,1.0
g_mp[immutable_list x Crossover|Elite],1.082,1.148,0.536,1.453,0.009,0.006,23193.0,16634.0,1.0
g_mp[yield_from x ChangeParamProb|StatemInsertProb],1.082,0.751,0.531,1.477,0.006,0.004,23193.0,14867.0,1.0
g_mp[journaling x TestInsertProb|TourSize],1.082,1.255,0.523,1.465,0.009,0.007,24560.0,16497.0,1.0
g_mp[da x RandPert|TourSize],1.082,0.93,0.551,1.486,0.007,0.005,22211.0,15766.0,1.0
g_mp[lazy_import x Elite|TestInsertionProb],1.082,1.333,0.503,1.43,0.01,0.007,21507.0,15978.0,1.0
g_mp[python x Crossover|Elite],1.082,0.764,0.528,1.458,0.006,0.004,25145.0,17293.0,1.0
g_mp[py_helpers x RandPert|TourSize],1.082,0.847,0.522,1.444,0.006,0.005,23326.0,15671.0,1.0
g_mp[dict_unpacking x TestInsertProb|TestInsertionProb],1.082,0.786,0.501,1.43,0.006,0.004,24060.0,16305.0,1.0
g_mp[dict_unpacking x Elite|TourSize],1.082,0.895,0.512,1.45,0.006,0.005,24658.0,16892.0,1.0
g_mp[immutable_list x ChromLen|TestInsertionProb],1.082,0.876,0.51,1.464,0.006,0.005,24894.0,17309.0,1.0
g_mp[headers x Pop|TestDeleteProb],1.082,0.766,0.518,1.462,0.006,0.004,26373.0,15515.0,1.0
g_mp[config x Elite|TestDeleteProb],1.082,1.287,0.53,1.447,0.009,0.007,26093.0,16891.0,1.0
g_mp[h_base x Pop|TestChangeProb],1.082,0.876,0.535,1.467,0.007,0.005,24001.0,16121.0,1.0
g_mp[signals x TestDeleteProb|TourSize],1.082,0.837,0.54,1.457,0.006,0.004,23636.0,16880.0,1.0
g_mp[h_base x ChromLen|StatemInsertProb],1.082,1.293,0.54,1.46,0.011,0.008,22910.0,17017.0,1.0
g_mp[yield_from x Crossover|TourSize],1.082,0.794,0.537,1.477,0.006,0.004,24119.0,17020.0,1.0
g_mp[timer x ChromLen|StatemInsertProb],1.082,0.891,0.549,1.468,0.007,0.005,22634.0,17211.0,1.0
g_mp[headers x ChangeParamProb|Pop],1.082,1.191,0.553,1.474,0.009,0.006,24366.0,16941.0,1.0
g_mp[s_helpers x ChromLen|RandPert],1.082,0.835,0.551,1.466,0.006,0.005,22709.0,16120.0,1.0
g_mp[return_from_generator x TestChangeProb|TestInsertionProb],1.082,0.865,0.514,1.466,0.007,0.005,23253.0,15772.0,1.0
g_mp[py_helpers x TestDeleteProb|TestInsertionProb],1.082,1.242,0.523,1.444,0.009,0.006,25478.0,16529.0,1.0
g_mp[config x Crossover|TestInsertProb],1.082,0.853,0.548,1.484,0.006,0.005,23074.0,17166.0,1.0
g_mp[yield_from x TestDeleteProb|TestInsertionProb],1.082,0.859,0.529,1.462,0.006,0.005,23392.0,15708.0,1.0
g_mp[decorators x TestDeleteProb|TourSize],1.082,1.222,0.502,1.427,0.01,0.007,24088.0,16542.0,1.0
g_mp[decorators x Crossover|TestInsertProb],1.082,1.011,0.5,1.448,0.008,0.005,23887.0,16317.0,1.0
g_mp[py_base x ChromLen|Elite],1.082,0.804,0.547,1.48,0.006,0.004,24077.0,16673.0,1.0
g_mp[journaling x Crossover|TestDeleteProb],1.082,1.973,0.49,1.407,0.014,0.01,24846.0,16757.0,1.0
g_mp[timer x StatemInsertProb|TestInsertProb],1.082,1.038,0.542,1.476,0.008,0.006,24812.0,16877.0,1.0
g_mp[maybe x ChromLen|TestChangeProb],1.082,0.885,0.516,1.455,0.007,0.005,21883.0,17290.0,1.0
g_mp[yield_from x RandPert|TestInsertProb],1.082,1.552,0.536,1.462,0.011,0.008,24959.0,17288.0,1.0
g_mp[h_base x ChromLen|Crossover],1.082,1.289,0.528,1.456,0.01,0.007,24831.0,16766.0,1.0
g_mp[headers x RandPert|TestInsertProb],1.082,1.143,0.538,1.467,0.008,0.006,25485.0,16940.0,1.0
g_mp[signals x ChangeParamProb|RandPert],1.082,0.842,0.533,1.473,0.007,0.005,26036.0,15386.0,1.0
g_mp[python x ChromLen|Crossover],1.082,1.134,0.543,1.446,0.008,0.006,22270.0,16382.0,1.0
g_mp[s_helpers x ChangeParamProb|TourSize],1.082,0.851,0.544,1.486,0.006,0.005,24803.0,15959.0,1.0
g_mp[return_from_generator x Crossover|TestChangeProb],1.082,1.483,0.509,1.432,0.011,0.008,24605.0,16559.0,1.0
g_mp[py_helpers x Elite|TestDeleteProb],1.082,0.779,0.508,1.445,0.006,0.004,22310.0,16590.0,1.0
g_mp[yield_from x ChangeParamProb|ChromLen],1.083,0.773,0.541,1.47,0.006,0.004,24925.0,16493.0,1.0
g_mp[namedtupleutils x ChromLen|TestChangeProb],1.083,0.946,0.49,1.429,0.007,0.005,23446.0,16861.0,1.0
g_mp[journaling x Crossover|Elite],1.083,1.626,0.537,1.46,0.012,0.008,26090.0,16200.0,1.0
g_mp[lazy_import x RandPert|StatemInsertProb],1.083,0.808,0.557,1.503,0.006,0.004,24606.0,16580.0,1.0
g_mp[da x Pop|TestDeleteProb],1.083,1.133,0.528,1.448,0.008,0.006,25272.0,16185.0,1.0
g_mp[lazy_import x RandPert|TestInsertProb],1.083,0.948,0.545,1.473,0.007,0.005,24330.0,16928.0,1.0
g_mp[timer x RandPert|TestChangeProb],1.083,0.717,0.536,1.473,0.005,0.004,23498.0,17495.0,1.0
g_mp[maybe x TestInsertProb|TestInsertionProb],1.083,1.454,0.52,1.446,0.011,0.007,25285.0,17086.0,1.0
g_mp[decorators x Pop|TestInsertionProb],1.083,1.583,0.535,1.447,0.011,0.008,22794.0,16735.0,1.0
g_mp[py_base x Pop|StatemInsertProb],1.083,1.027,0.518,1.449,0.008,0.005,25203.0,16002.0,1.0
g_mp[immutable_list x ChromLen|StatemInsertProb],1.083,1.123,0.503,1.436,0.008,0.006,24315.0,15789.0,1.0
g_mp[decorators x Crossover|TourSize],1.083,1.363,0.521,1.433,0.01,0.007,23554.0,16093.0,1.0
g_mp[cmd x StatemInsertProb|TourSize],1.083,1.154,0.517,1.458,0.009,0.006,23384.0,17092.0,1.0
g_mp[packages x Crossover|Elite],1.083,1.217,0.543,1.47,0.009,0.006,23450.0,16686.0,1.0
g_mp[s_helpers x Pop|StatemInsertProb],1.083,0.937,0.486,1.434,0.007,0.005,24694.0,16164.0,1.0
g_mp[pgzero_frontend x StatemInsertProb|TestChangeProb],1.083,1.39,0.533,1.476,0.01,0.007,23993.0,14869.0,1.0
g_mp[config x Crossover|StatemInsertProb],1.083,1.228,0.532,1.489,0.009,0.006,24070.0,17105.0,1.0
g_mp[return_from_generator x ChangeParamProb|TestDeleteProb],1.083,0.798,0.548,1.484,0.006,0.004,23961.0,17091.0,1.0
g_mp[namedtupleutils x StatemInsertProb|TestDeleteProb],1.083,0.857,0.546,1.475,0.006,0.004,21944.0,16386.0,1.0
g_mp[timer x ChangeParamProb|TestInsertProb],1.083,0.897,0.508,1.426,0.007,0.005,23465.0,17025.0,1.0
g_mp[journaling x Elite|TestChangeProb],1.083,1.358,0.532,1.453,0.012,0.008,25789.0,16781.0,1.0
g_mp[py_base x TestDeleteProb|TestInsertProb],1.083,0.861,0.52,1.465,0.007,0.005,24542.0,16513.0,1.0
g_mp[namedtupleutils x Pop|TestInsertionProb],1.083,1.349,0.551,1.47,0.01,0.007,22782.0,16487.0,1.0
g_mp[decorators x ChromLen|TestInsertionProb],1.083,1.131,0.521,1.434,0.008,0.006,24491.0,16424.0,1.0
g_mp[python x Elite|TestInsertProb],1.083,0.882,0.498,1.43,0.007,0.005,23599.0,16926.0,1.0
g_mp[config x Elite|StatemInsertProb],1.083,1.399,0.536,1.482,0.01,0.007,25157.0,17272.0,1.0
g_mp[py_base x TestChangeProb|TestDeleteProb],1.083,1.261,0.536,1.459,0.009,0.006,23028.0,17238.0,1.0
g_mp[journaling x StatemInsertProb|TestInsertionProb],1.083,1.079,0.55,1.503,0.008,0.006,24134.0,16458.0,1.0
g_mp[py_helpers x Crossover|TestDeleteProb],1.083,0.975,0.521,1.456,0.007,0.005,21757.0,17032.0,1.0
g_mp[namedtupleutils x ChromLen|TestInsertionProb],1.083,1.333,0.493,1.428,0.01,0.007,24322.0,16414.0,1.0
g_mp[py_helpers x ChangeParamProb|RandPert],1.083,1.276,0.499,1.43,0.011,0.008,26579.0,16416.0,1.0
g_mp[dict_unpacking x ChromLen|Elite],1.083,1.427,0.52,1.463,0.01,0.007,23777.0,16596.0,1.0
g_mp[pgzero_frontend x Crossover|TestDeleteProb],1.083,1.482,0.527,1.457,0.011,0.008,23121.0,16776.0,1.0
g_mp[namedtupleutils x Pop|TestInsertProb],1.083,1.35,0.532,1.487,0.01,0.007,23670.0,16571.0,1.0
g_mp[python x ChangeParamProb|StatemInsertProb],1.083,0.997,0.514,1.433,0.007,0.005,25361.0,16720.0,1.0
g_mp[decorators x Pop|TestInsertProb],1.083,0.942,0.537,1.461,0.007,0.005,23294.0,17217.0,1.0
g_mp[immutable_list x TestChangeProb|TourSize],1.083,2.341,0.547,1.459,0.017,0.012,25285.0,16507.0,1.0
g_mp[s_helpers x Crossover|Pop],1.083,0.864,0.545,1.468,0.007,0.005,24217.0,16365.0,1.0
g_mp[h_base x ChromLen|TestInsertProb],1.083,1.009,0.502,1.439,0.008,0.005,23790.0,16273.0,1.0
g_mp[dict_unpacking x Crossover|TestInsertProb],1.083,0.777,0.534,1.476,0.006,0.004,24403.0,16664.0,1.0
g_mp[decorators x Elite|RandPert],1.083,1.016,0.528,1.439,0.008,0.005,24464.0,17263.0,1.0
g_mp[headers x Elite|TestInsertProb],1.083,0.957,0.522,1.446,0.008,0.006,23455.0,16872.0,1.0
g_mp[packages x ChangeParamProb|TestInsertionProb],1.083,0.842,0.522,1.45,0.007,0.005,22339.0,16336.0,1.0
g_mp[lazy_import x ChangeParamProb|Elite],1.083,1.492,0.5,1.431,0.011,0.008,22662.0,15947.0,1.0
g_mp[h_base x Crossover|TourSize],1.083,0.939,0.542,1.469,0.007,0.005,26229.0,16875.0,1.0
g_mp[yield_from x StatemInsertProb|TestDeleteProb],1.084,1.215,0.539,1.466,0.009,0.007,26052.0,16559.0,1.0
g_mp[python x TestInsertionProb|TourSize],1.084,0.851,0.526,1.487,0.007,0.005,23226.0,16112.0,1.0
g_mp[journaling x TestChangeProb|TestDeleteProb],1.084,1.221,0.551,1.462,0.009,0.006,24125.0,16271.0,1.0
g_mp[immutable_list x StatemInsertProb|TestDeleteProb],1.084,2.295,0.524,1.47,0.016,0.011,23632.0,17966.0,1.0
g_mp[timer x ChangeParamProb|ChromLen],1.084,1.042,0.52,1.436,0.008,0.005,23424.0,15580.0,1.0
g_mp[packages x ChangeParamProb|RandPert],1.084,1.107,0.545,1.475,0.009,0.006,22922.0,16650.0,1.0
g_mp[da x Pop|StatemInsertProb],1.084,1.052,0.528,1.45,0.008,0.005,24407.0,16116.0,1.0
g_mp[return_from_generator x ChromLen|StatemInsertProb],1.084,0.845,0.527,1.455,0.006,0.005,23764.0,16187.0,1.0
g_mp[python x Elite|RandPert],1.084,1.414,0.518,1.44,0.011,0.007,23835.0,16033.0,1.0
g_mp[python x ChangeParamProb|TestDeleteProb],1.084,1.145,0.541,1.46,0.008,0.006,23681.0,16867.0,1.0
g_mp[headers x RandPert|TestChangeProb],1.084,0.983,0.547,1.461,0.007,0.005,23608.0,15853.0,1.0
g_mp[python x ChromLen|Elite],1.084,1.641,0.506,1.441,0.012,0.008,25565.0,17240.0,1.0
g_mp[cmd x RandPert|TestChangeProb],1.084,0.878,0.508,1.458,0.007,0.005,23477.0,15075.0,1.0
g_mp[yield_from x ChromLen|Elite],1.084,1.907,0.529,1.446,0.014,0.01,20816.0,17340.0,1.0
g_mp[yield_from x Pop|TestDeleteProb],1.084,1.287,0.508,1.454,0.009,0.006,22458.0,16917.0,1.0
g_mp[s_helpers x Pop|TestDeleteProb],1.084,1.166,0.533,1.473,0.008,0.006,24117.0,17129.0,1.0
g_mp[py_base x ChangeParamProb|TourSize],1.084,1.411,0.525,1.461,0.012,0.009,24341.0,15438.0,1.0
g_mp[py_base x ChromLen|TestDeleteProb],1.084,1.553,0.508,1.443,0.011,0.008,23382.0,16317.0,1.0
g_mp[py_helpers x ChangeParamProb|TestInsertionProb],1.084,0.858,0.541,1.454,0.007,0.005,22602.0,16430.0,1.0
g_mp[maybe x Crossover|TestInsertProb],1.084,1.469,0.547,1.478,0.011,0.008,25103.0,16681.0,1.0
g_mp[yield_from x Pop|TourSize],1.084,1.941,0.538,1.46,0.014,0.01,24340.0,16273.0,1.0
g_mp[da x Crossover|TestInsertionProb],1.084,0.856,0.531,1.482,0.007,0.005,24263.0,16475.0,1.0
g_mp[h_base x ChangeParamProb|TestInsertProb],1.084,0.968,0.504,1.421,0.007,0.005,24545.0,16760.0,1.0
g_mp[da x ChangeParamProb|StatemInsertProb],1.084,0.973,0.548,1.474,0.007,0.005,23342.0,17297.0,1.0
g_mp[decorators x ChangeParamProb|TourSize],1.084,2.089,0.546,1.468,0.015,0.011,24488.0,16941.0,1.0
g_mp[da x Pop|TestInsertionProb],1.084,1.545,0.517,1.439,0.011,0.008,23309.0,16889.0,1.0
g_mp[signals x RandPert|TourSize],1.084,0.981,0.534,1.472,0.007,0.005,24101.0,17949.0,1.0
g_mp[config x ChromLen|RandPert],1.084,1.122,0.543,1.471,0.008,0.006,22769.0,14695.0,1.0
g_mp[namedtupleutils x ChromLen|TourSize],1.084,1.611,0.549,1.475,0.011,0.008,23856.0,16792.0,1.0
g_mp[python x Crossover|TestChangeProb],1.084,1.286,0.54,1.472,0.01,0.007,22758.0,17049.0,1.0
g_mp[maybe x Elite|TestDeleteProb],1.084,1.275,0.542,1.469,0.009,0.006,24391.0,16087.0,1.0
g_mp[headers x ChangeParamProb|TestDeleteProb],1.084,1.169,0.542,1.487,0.008,0.006,23973.0,15949.0,1.0
g_mp[lazy_import x ChromLen|TourSize],1.084,1.576,0.503,1.434,0.011,0.008,25557.0,17207.0,1.0
g_mp[signals x RandPert|TestInsertProb],1.084,1.998,0.51,1.456,0.014,0.01,22213.0,16012.0,1.0
g_mp[pgzero_frontend x Pop|TestDeleteProb],1.085,0.823,0.534,1.475,0.006,0.004,24546.0,16871.0,1.0
g_mp[decorators x Elite|TestInsertProb],1.085,1.479,0.57,1.489,0.011,0.008,23511.0,16478.0,1.0
g_mp[positional_validation x ChromLen|TourSize],1.085,0.952,0.572,1.49,0.007,0.005,22406.0,15884.0,1.0
g_mp[timer x TestChangeProb|TestDeleteProb],1.085,0.942,0.528,1.462,0.007,0.005,25631.0,17025.0,1.0
g_mp[config x TestChangeProb|TestDeleteProb],1.085,1.144,0.551,1.48,0.008,0.006,23734.0,16489.0,1.0
g_mp[h_base x Elite|TestDeleteProb],1.085,1.038,0.518,1.444,0.008,0.005,23346.0,15868.0,1.0
g_mp[dict_unpacking x ChangeParamProb|TestChangeProb],1.085,0.986,0.526,1.48,0.007,0.005,24368.0,15264.0,1.0
g_mp[return_from_generator x ChangeParamProb|Crossover],1.085,0.903,0.526,1.465,0.007,0.005,24887.0,16662.0,1.0
g_mp[cmd x ChangeParamProb|TestInsertProb],1.085,0.953,0.517,1.455,0.008,0.006,23659.0,16124.0,1.0
g_mp[dict_unpacking x TestInsertProb|TourSize],1.085,1.234,0.503,1.421,0.009,0.007,24654.0,16325.0,1.0
g_mp[s_helpers x Pop|TestChangeProb],1.085,0.968,0.54,1.473,0.007,0.005,25320.0,16527.0,1.0
g_mp[validation x Elite|TestInsertProb],1.085,1.905,0.519,1.442,0.013,0.01,25784.0,16823.0,1.0
g_mp[config x Elite|TestInsertProb],1.085,1.443,0.525,1.442,0.011,0.007,25048.0,16802.0,1.0
g_mp[journaling x ChangeParamProb|StatemInsertProb],1.085,1.099,0.538,1.442,0.008,0.006,23508.0,16833.0,1.0
g_mp[validation x TestDeleteProb|TestInsertProb],1.085,0.934,0.53,1.461,0.007,0.005,23698.0,16768.0,1.0
g_mp[maybe x TestChangeProb|TestInsertProb],1.085,1.179,0.515,1.451,0.01,0.008,24194.0,16870.0,1.0
g_mp[maybe x ChromLen|Pop],1.085,1.18,0.526,1.455,0.009,0.006,23333.0,17966.0,1.0
g_mp[positional_validation x ChangeParamProb|Elite],1.085,1.11,0.535,1.477,0.008,0.006,25509.0,16536.0,1.0
g_mp[py_helpers x TestDeleteProb|TestInsertProb],1.085,1.293,0.514,1.448,0.009,0.007,24423.0,16250.0,1.0
g_mp[da x Crossover|TourSize],1.085,1.037,0.534,1.473,0.008,0.006,20723.0,17710.0,1.0
g_mp[lazy_import x Elite|StatemInsertProb],1.085,2.061,0.535,1.47,0.015,0.01,23986.0,16512.0,1.0
g_mp[config x ChromLen|TourSize],1.085,1.011,0.495,1.441,0.008,0.005,25505.0,16719.0,1.0
g_mp[lazy_import x StatemInsertProb|TourSize],1.085,1.162,0.509,1.468,0.008,0.006,24125.0,16722.0,1.0
g_mp[immutable_list x Crossover|TourSize],1.085,0.941,0.524,1.465,0.007,0.005,24423.0,17073.0,1.0
g_mp[pgzero_frontend x Elite|TestChangeProb],1.085,2.45,0.527,1.445,0.017,0.012,23912.0,15915.0,1.0
g_mp[decorators x ChangeParamProb|TestInsertionProb],1.085,1.565,0.523,1.438,0.011,0.008,25860.0,16684.0,1.0
g_mp[py_helpers x TestChangeProb|TourSize],1.085,0.886,0.528,1.463,0.006,0.005,26388.0,16453.0,1.0
g_mp[lazy_import x ChangeParamProb|ChromLen],1.085,1.453,0.531,1.467,0.01,0.007,23320.0,16475.0,1.0
g_mp[decorators x StatemInsertProb|TestInsertProb],1.085,1.554,0.51,1.434,0.012,0.008,23292.0,16428.0,1.0
g_mp[pgzero_frontend x ChangeParamProb|TestInsertProb],1.085,1.38,0.564,1.475,0.01,0.007,23570.0,16570.0,1.0
g_mp[immutable_list x RandPert|StatemInsertProb],1.085,1.546,0.525,1.455,0.011,0.008,25173.0,16278.0,1.0
g_mp[signals x ChromLen|TestChangeProb],1.085,1.338,0.526,1.464,0.01,0.007,24522.0,17080.0,1.0
g_mp[yield_from x RandPert|TourSize],1.085,1.075,0.495,1.449,0.008,0.006,23238.0,15717.0,1.0
g_mp[python x Crossover|TestDeleteProb],1.085,1.335,0.535,1.48,0.01,0.007,24957.0,16562.0,1.0
g_mp[pgzero_frontend x RandPert|TourSize],1.085,1.468,0.551,1.468,0.011,0.007,21308.0,17147.0,1.0
g_mp[yield_from x TestInsertProb|TestInsertionProb],1.085,0.964,0.499,1.445,0.008,0.005,22153.0,16182.0,1.0
g_mp[namedtupleutils x ChromLen|RandPert],1.085,1.971,0.515,1.437,0.014,0.01,23437.0,16458.0,1.0
g_mp[dict_unpacking x StatemInsertProb|TestChangeProb],1.085,0.903,0.536,1.46,0.007,0.005,23410.0,15901.0,1.0
g_mp[signals x Pop|TestInsertionProb],1.085,0.978,0.528,1.45,0.007,0.005,23225.0,16650.0,1.0
g_mp[s_helpers x RandPert|TourSize],1.086,1.225,0.507,1.462,0.009,0.007,24154.0,16222.0,1.0
g_mp[dict_unpacking x TestDeleteProb|TestInsertProb],1.086,1.71,0.536,1.47,0.012,0.009,24752.0,16890.0,1.0
g_mp[py_base x Pop|RandPert],1.086,0.881,0.503,1.44,0.007,0.005,24631.0,16361.0,1.0
g_mp[headers x StatemInsertProb|TestDeleteProb],1.086,2.108,0.537,1.463,0.015,0.011,22896.0,16797.0,1.0
g_mp[da x Pop|RandPert],1.086,1.101,0.504,1.434,0.008,0.006,23461.0,17165.0,1.0
g_mp[dict_unpacking x ChromLen|StatemInsertProb],1.086,1.067,0.538,1.443,0.008,0.006,22613.0,16348.0,1.0
g_mp[python x TestChangeProb|TestInsertionProb],1.086,0.948,0.561,1.495,0.007,0.005,24214.0,15402.0,1.0
g_mp[return_from_generator x Elite|TestInsertProb],1.086,0.775,0.559,1.513,0.006,0.004,25364.0,15740.0,1.0
g_mp[yield_from x Crossover|TestChangeProb],1.086,1.8,0.517,1.441,0.013,0.009,23586.0,16085.0,1.0
g_mp[h_base x Elite|TourSize],1.086,1.185,0.494,1.427,0.01,0.007,22319.0,16494.0,1.0
g_mp[journaling x Pop|TestInsertionProb],1.086,1.031,0.515,1.457,0.008,0.005,25148.0,16931.0,1.0
g_mp[positional_validation x ChangeParamProb|TestChangeProb],1.086,1.005,0.537,1.477,0.008,0.005,24555.0,16232.0,1.0
g_mp[positional_validation x Elite|TestInsertProb],1.086,1.672,0.523,1.434,0.012,0.008,23305.0,16311.0,1.0
g_mp[da x TestDeleteProb|TourSize],1.086,2.033,0.499,1.427,0.014,0.01,23315.0,16155.0,1.0
g_mp[da x ChangeParamProb|ChromLen],1.086,0.988,0.522,1.452,0.007,0.005,23279.0,15976.0,1.0
g_mp[namedtupleutils x Crossover|TourSize],1.086,1.586,0.533,1.479,0.012,0.008,23852.0,16961.0,1.0
g_mp[timer x StatemInsertProb|TourSize],1.086,1.123,0.53,1.448,0.008,0.006,24368.0,15871.0,1.0
g_mp[config x Pop|TestInsertionProb],1.086,1.384,0.534,1.459,0.01,0.007,25823.0,16346.0,1.0
g_mp[headers x Pop|TestInsertionProb],1.086,1.233,0.522,1.443,0.009,0.006,24091.0,16456.0,1.0
g_mp[s_helpers x ChromLen|TestInsertProb],1.086,1.246,0.546,1.472,0.01,0.007,23775.0,15951.0,1.0
g_mp[signals x Crossover|TourSize],1.086,0.874,0.529,1.456,0.006,0.005,23768.0,17084.0,1.0
g_mp[s_helpers x Pop|TourSize],1.086,1.083,0.54,1.47,0.008,0.006,22794.0,17265.0,1.0
g_mp[packages x RandPert|StatemInsertProb],1.086,2.0,0.531,1.469,0.014,0.01,25033.0,16810.0,1.0
g_mp[positional_validation x ChromLen|TestChangeProb],1.086,1.108,0.547,1.475,0.008,0.006,24002.0,16664.0,1.0
g_mp[positional_validation x ChromLen|StatemInsertProb],1.086,1.014,0.538,1.456,0.008,0.005,23272.0,17223.0,1.0
g_mp[cmd x Crossover|Pop],1.086,1.963,0.547,1.461,0.014,0.01,24838.0,16007.0,1.0
g_mp[yield_from x ChromLen|TestInsertionProb],1.086,1.07,0.553,1.494,0.008,0.005,22962.0,16737.0,1.0
g_mp[config x Crossover|Elite],1.086,1.054,0.553,1.491,0.008,0.006,23479.0,16736.0,1.0
g_mp[pgzero_frontend x RandPert|TestChangeProb],1.086,1.044,0.53,1.447,0.008,0.005,24660.0,16045.0,1.0
g_mp[decorators x RandPert|TestDeleteProb],1.086,1.721,0.541,1.485,0.012,0.009,23517.0,16791.0,1.0
g_mp[packages x ChangeParamProb|Crossover],1.086,1.42,0.549,1.482,0.011,0.008,26263.0,15777.0,1.0
g_mp[immutable_list x StatemInsertProb|TourSize],1.086,0.994,0.527,1.452,0.007,0.005,23688.0,16085.0,1.0
g_mp[positional_validation x Crossover|TestDeleteProb],1.086,0.873,0.525,1.451,0.007,0.005,23228.0,16118.0,1.0
g_mp[namedtupleutils x Crossover|Pop],1.086,0.861,0.535,1.48,0.006,0.005,23335.0,17120.0,1.0
g_mp[py_base x RandPert|StatemInsertProb],1.086,0.935,0.537,1.483,0.007,0.005,24663.0,17117.0,1.0
g_mp[positional_validation x TestInsertProb|TestInsertionProb],1.086,1.447,0.533,1.477,0.011,0.008,20706.0,16664.0,1.0
g_mp[lazy_import x Crossover|TourSize],1.087,1.381,0.494,1.435,0.01,0.007,23930.0,16491.0,1.0
g_mp[lazy_import x Crossover|StatemInsertProb],1.087,1.27,0.539,1.475,0.01,0.007,23522.0,16132.0,1.0
g_mp[da x TestChangeProb|TourSize],1.087,1.077,0.514,1.449,0.008,0.006,22294.0,15389.0,1.0
